Phase,Order,Task name,Pillars,Owner,Depends on,Priority,In ClickUp,Description
"Phase 0 · Foundation (in flight)",0.1,"Merge PR #8: intros, refresh script, daily CI, watchlist, charts",Collector,Jib,,urgent,yes (in progress),"Review screenshots on PR #8 and merge."
"Phase 0 · Foundation (in flight)",0.2,"TCGPlayer one-off backfill: done, data committed",Collector,Code,,urgent,yes (complete),"145,807 weekly points across 3,298 prints; closes with PR #8."
"Phase 0 · Foundation (in flight)",0.3,"Enable Actions to open PRs, run the first automated seed refresh",Collector,Jib,0.1,high,yes,"Settings → Actions → General → Workflow permissions; then run Seed refresh once by hand and merge its PR."
"Phase 0 · Foundation (in flight)",0.4,"Daily habit: merge the 10:10 SGT seed refresh PR",Collector,Jib,0.3,normal,yes,"Recurring."
"Phase 1 · Card identity and the card page",1.0,"ENABLER: capture card attributes, effect text, artist and legality in the refresh","Player, Fandom",Code,0.1,urgent,yes,"Companion data/card-attributes/{code}.csv from the Limitless blocks we already parse. Decision: showing Bandai card text (standard practice; accept explicitly)."
"Phase 1 · Card identity and the card page",1.1,"Human variant names from Limitless print labels",Collector,Code,0.1,high,yes,"'Shanks · Alternate Art' under the name; number stays visible."
"Phase 1 · Card identity and the card page",1.2,"Breadcrumb on card detail: Sets › OP-09 › OP09-004p1",All,Code,,normal,yes,"Quiet text breadcrumb beside the chevron."
"Phase 1 · Card identity and the card page",1.3,"Change-since line under Market (seed)",Collector,Code,0.1,high,yes,"'−$5.90 since 5 Aug' in words; card detail only."
"Phase 1 · Card identity and the card page",1.4,"Chart legibility: date ticks and tap readout",Collector,Code,0.1,normal,yes,"3–4 date ticks, tap readout; no gridlines or fills."
"Phase 1 · Card identity and the card page",1.5,"'How prices work' page",Collector,Design + Code,0.1,normal,yes,"Provenance as a feature; route /about-prices."
"Phase 1 · Card identity and the card page",1.6,"Card detail: the Play block (what the card does)",Player,Code + Design,1.0,high,yes,"Category · colour · cost · power · counter; traits; effect text; Block · legality."
"Phase 1 · Card identity and the card page",1.7,"Card detail: Illustrated by … (artist credit)",Fandom,Code,1.0,normal,yes,"Muted artist line; links to 7.3 later."
"Phase 2 · Find anything",2.1,"Global search across all sets from Sets home",All,Code,1.1,high,yes,"Name or number across 3,301 cards; results grouped by set; ?q= in URL."
"Phase 2 · Find anything",2.2,"Jump-to-number",All,Code,2.1,normal,yes,"Full number opens the card directly."
"Phase 2 · Find anything",2.3,"Player search facets: colour, category, cost, trait, effect keyword",Player,Code,"2.1, 1.0",high,yes,"'all red Blockers I own' is one query."
"Phase 2 · Find anything",2.4,"Character view: every print of a name across sets","Fandom, Collector",Code,2.1,normal,yes,"'Shanks · 14 prints across 6 sets' with owned / watched markers."
